pattern_id,pattern_name,category,description,behavior_signature,risk_level,recommended_action,expected_agent_response,expected_customer_response
PAT0001,Guaranteed Returns Scheme,Investment Scam,Promises fixed 55% monthly returns on investment with zero risk. Uses fake testimonials and fabricated portfolio screenshots.,large_amount|new_recipient|investment_category|urgency_language,High,Initiate agentic conversation,I notice this transaction matches patterns commonly associated with investment scams. No legitimate investment guarantees fixed returns. Have you independently verified this opportunity?,"I know this person, I want to proceed anyway."
PAT0002,Stock Market Tips Fraud,Investment Scam,"Offers insider stock tips for a fee, claiming guaranteed profits from upcoming market movements.",recurring_small_payments|new_recipient|increasing_amounts,Medium,Show warning to customer,I notice this transaction matches patterns commonly associated with investment scams. No legitimate investment guarantees fixed returns. Have you independently verified this opportunity?,I understand the risk but I still want to continue.
PAT0003,Forex Trading Scam,Investment Scam,Promises extraordinary returns through forex trading platform that is actually a Ponzi scheme.,large_amount|foreign_platform|new_recipient|urgency,High,Initiate agentic conversation,I notice this transaction matches patterns commonly associated with investment scams. No legitimate investment guarantees fixed returns. Have you independently verified this opportunity?,"This is a legitimate investment, I have done my research."
PAT0004,Mutual Fund Impersonation,Investment Scam,Impersonates legitimate mutual fund companies offering exclusive high-return schemes not available to public.,impersonation|large_amount|urgency|official_branding,High,Initiate agentic conversation,I notice this transaction matches patterns commonly associated with investment scams. No legitimate investment guarantees fixed returns. Have you independently verified this opportunity?,Thank you for the warning. I will cancel this transaction.
PAT0005,Gold Investment Fraud,Investment Scam,Offers below-market gold prices with guaranteed buyback at premium rates after a lock-in period.,large_amount|new_recipient|unrealistic_returns,Critical,Block transaction automatically,I notice this transaction matches patterns commonly associated with investment scams. No legitimate investment guarantees fixed returns. Have you independently verified this opportunity?,"This is a legitimate investment, I have done my research."
PAT0006,Property Investment Scheme,Investment Scam,Promotes fake real estate investment with promises of 67x returns within months.,very_large_amount|new_recipient|real_estate_keywords,High,Initiate agentic conversation,I notice this transaction matches patterns commonly associated with investment scams. No legitimate investment guarantees fixed returns. Have you independently verified this opportunity?,Thank you for the warning. I will cancel this transaction.
PAT0007,IPO Allocation Scam,Investment Scam,Claims guaranteed IPO allotment in upcoming high-demand offerings for an upfront processing fee.,advance_fee|urgency|official_impersonation,Medium,Show warning to customer,I notice this transaction matches patterns commonly associated with investment scams. No legitimate investment guarantees fixed returns. Have you independently verified this opportunity?,"I know this person, I want to proceed anyway."
PAT0008,Fixed Deposit Fraud,Investment Scam,Offers FD rates significantly above market rate from supposedly reputed banks through unauthorized agents.,large_amount|unrealistic_rates|bank_impersonation,High,Initiate agentic conversation,I notice this transaction matches patterns commonly associated with investment scams. No legitimate investment guarantees fixed returns. Have you independently verified this opportunity?,I didn't realize this was a scam. I will not proceed.
PAT0009,Chit Fund Ponzi,Investment Scam,Operates as a chit fund scheme paying early investors from new member contributions until collapse.,recurring_payments|community_pressure|increasing_amounts,Critical,Block transaction automatically,I notice this transaction matches patterns commonly associated with investment scams. No legitimate investment guarantees fixed returns. Have you independently verified this opportunity?,I understand the risk but I still want to continue.
PAT0010,Binary Options Trading,Investment Scam,Promotes binary options trading platform showing fabricated wins to lure larger deposits.,escalating_deposits|new_platform|foreign_recipient,Medium,Show warning to customer,I notice this transaction matches patterns commonly associated with investment scams. No legitimate investment guarantees fixed returns. Have you independently verified this opportunity?,I appreciate the alert. Let me verify this independently first.
